"Life expectancy Index"
"HDI Rank (2017)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168","Afghanistan","0.459","..","0.471","..","0.482","..","0.492","..","0.501","..","0.509","..","0.516","..","0.523","..","0.530","..","0.538","..","0.546","..","0.555","..","0.564","..","0.573","..","0.583","..","0.592","..","0.602","..","0.611","..","0.619","..","0.627","..","0.634","..","0.641","..","0.647","..","0.654","..","0.660","..","0.666","..","0.672","..","0.678",".."
"68","Albania","0.797","..","0.797","..","0.797","..","0.798","..","0.800","..","0.803","..","0.808","..","0.813","..","0.819","..","0.824","..","0.830","..","0.835","..","0.840","..","0.843","..","0.847","..","0.850","..","0.853","..","0.856","..","0.861","..","0.866","..","0.872","..","0.877","..","0.883","..","0.888","..","0.892","..","0.895","..","0.898","..","0.900",".."
"85","Algeria","0.719","..","0.723","..","0.727","..","0.731","..","0.735","..","0.740","..","0.746","..","0.753","..","0.760","..","0.767","..","0.774","..","0.781","..","0.789","..","0.797","..","0.804","..","0.812","..","0.819","..","0.825","..","0.831","..","0.837","..","0.841","..","0.845","..","0.849","..","0.853","..","0.856","..","0.859","..","0.863","..","0.866",".."
"35","Andorra","0.870","..","0.872","..","0.875","..","0.877","..","0.880","..","0.883","..","0.887","..","0.891","..","0.896","..","0.900","..","0.906","..","0.911","..","0.915","..","0.920","..","0.923","..","0.926","..","0.928","..","0.930","..","0.932","..","0.934","..","0.936","..","0.937","..","0.939","..","0.941","..","0.943","..","0.945","..","0.947","..","0.949",".."
"147","Angola","0.334","..","0.336","..","0.339","..","0.344","..","0.349","..","0.356","..","0.365","..","0.375","..","0.388","..","0.402","..","0.417","..","0.434","..","0.451","..","0.469","..","0.487","..","0.505","..","0.523","..","0.540","..","0.557","..","0.573","..","0.588","..","0.601","..","0.612","..","0.621","..","0.629","..","0.634","..","0.639","..","0.643",".."
"70","Antigua and Barbuda","0.790","..","0.793","..","0.797","..","0.800","..","0.803","..","0.807","..","0.810","..","0.814","..","0.817","..","0.820","..","0.824","..","0.827","..","0.830","..","0.833","..","0.836","..","0.839","..","0.842","..","0.845","..","0.847","..","0.850","..","0.853","..","0.855","..","0.857","..","0.860","..","0.862","..","0.865","..","0.867","..","0.870",".."
"47","Argentina","0.793","..","0.797","..","0.800","..","0.804","..","0.808","..","0.811","..","0.815","..","0.818","..","0.822","..","0.825","..","0.828","..","0.831","..","0.834","..","0.837","..","0.840","..","0.843","..","0.845","..","0.848","..","0.850","..","0.853","..","0.855","..","0.858","..","0.860","..","0.863","..","0.865","..","0.868","..","0.870","..","0.873",".."
"83","Armenia","0.737","..","0.736","..","0.738","..","0.742","..","0.747","..","0.753","..","0.760","..","0.768","..","0.776","..","0.784","..","0.791","..","0.797","..","0.802","..","0.805","..","0.808","..","0.810","..","0.811","..","0.813","..","0.815","..","0.817","..","0.820","..","0.824","..","0.828","..","0.831","..","0.835","..","0.838","..","0.840","..","0.843",".."
"3","Australia","0.876","..","0.880","..","0.885","..","0.889","..","0.893","..","0.896","..","0.900","..","0.904","..","0.908","..","0.912","..","0.917","..","0.921","..","0.926","..","0.930","..","0.934","..","0.938","..","0.941","..","0.944","..","0.947","..","0.950","..","0.952","..","0.955","..","0.957","..","0.960","..","0.962","..","0.965","..","0.968","..","0.970",".."
"20","Austria","0.855","..","0.859","..","0.863","..","0.866","..","0.870","..","0.874","..","0.878","..","0.883","..","0.887","..","0.892","..","0.896","..","0.900","..","0.904","..","0.909","..","0.913","..","0.916","..","0.920","..","0.923","..","0.926","..","0.929","..","0.932","..","0.935","..","0.937","..","0.940","..","0.942","..","0.945","..","0.948","..","0.950",".."
